place,événement,zone,substrat,matériel,y,région
Hermance,GE_Her_2,ligne-d'eau,Graviers,souple,0.0,petit-lac
Hermance,GE_Her_3,ligne-d'eau,Graviers,souple,0.0,petit-lac
Hermance,GE_Her_4,ligne-d'eau,Graviers,souple,0.0,petit-lac
Savonière,GE_Sav_1,ligne-d'eau,Galets,souple,0.0,petit-lac
Savonière,GE_Sav_2,ligne-d'eau,Galets,souple,0.0,petit-lac
Savonière,GE_Sav_3,ligne-d'eau,Galets,souple,0.0,petit-lac
Baby Plage,GE_Bab_1,ligne-d'eau,Sables fin,souple,0.0,petit-lac
Baby Plage,GE_Bab_2,ligne-d'eau,Sables fin,souple,0.0,petit-lac
Baby Plage,GE_Bab_3,ligne-d'eau,Sables fin,souple,0.0,petit-lac
Baby Plage,GE_Bab_4,ligne-d'eau,Sables fin,souple,0.0,petit-lac
Baby Plage,GE_Bab_5,ligne-d'eau,Sables fin,souple,0.0,petit-lac
Baby Plage,GE_Bab_6,plage-seche,Sables fin,souple,0.0,petit-lac
Baby Plage,GE_Bab_7,plage-seche,Sables fin,souple,0.0,petit-lac
Baby Plage,GE_Bab_8,plage-seche,Sables fin,souple,4.0,petit-lac
Versoix,GE_Ver_1,ligne-d'eau,Graviers,souple,0.0,petit-lac
Versoix,GE_Ver_2,ligne-d'eau,Graviers,souple,2.0,petit-lac
Versoix,GE_Ver_3,ligne-d'eau,Graviers,souple,0.0,petit-lac
Versoix,GE_Ver_4,plage-seche,Graviers,souple,0.0,petit-lac
Crans,VD_Cra_1,ligne-d'eau,Sables grossiers,souple,0.0,petit-lac
Gland,VD_Gld_1,ligne-d'eau,Sables grossiers,souple,6.0,grand-lac
Rolle,VD_Rol_1,ligne-d'eau,Sables grossiers,souple,2.0,grand-lac
Rolle,VD_Rol_2,ligne-d'eau,Sables grossiers,souple,0.0,grand-lac
Rolle,VD_Rol_3,ligne-d'eau,Sables grossiers,souple,3.0,grand-lac
Rolle,VD_Rol_4,ligne-d'eau,Sables grossiers,souple,2.0,grand-lac
Rolle,VD_Rol_5,ligne-d'eau,Sables grossiers,souple,2.0,grand-lac
Rolle,VD_Rol_6,ligne-d'eau,Sables grossiers,souple,9.0,grand-lac
Rolle,VD_Rol_7,ligne-d'eau,Sables grossiers,souple,2.0,grand-lac
Rolle,VD_Rol_8,ligne-d'eau,Sables grossiers,souple,6.0,grand-lac
Rolle,VD_Rol_9,ligne-d'eau,Sables grossiers,souple,2.0,grand-lac
Rolle,VD_Rol_10,ligne-d'eau,Sables grossiers,souple,3.0,grand-lac
Rolle,VD_Rol_11,plage-seche,Sables grossiers,souple,1.0,grand-lac
Rolle,VD_Rol_12,plage-seche,Sables grossiers,souple,5.0,grand-lac
Rolle,VD_Rol_13,plage-seche,Sables grossiers,souple,1.0,grand-lac
Rolle,VD_Rol_14,plage-seche,Sables grossiers,souple,1.0,grand-lac
