Lieu;Aire;Temps;Position;Substrat;Date;Saison;Objet;Code;OPSAR;UNEP;Quantité;Poids;;;
Baby Plage;384;200;2;1;22.01.2022;1;Cellophane/film alimentaire plastique;G30;117;;3;0,0063;0,0078125;2,1;
Baby Plage;384;200;2;1;02.09.2022;3;Cellophane/film alimentaire plastique;G30;117;;5;0,0105;0,013020833;2,1;
Baby Plage;112;60;1;1;22.01.2022;1;Emballage (film) à nourriture/alimentaire/en plastique/bonbon/chips;G30;19;;6;0,0035;0,053571429;0,583333333;
Baby Plage;384;200;2;1;23.04.2022;2;Emballage (film) à nourriture/alimentaire/en plastique/bonbon/chips;G30;19;;3;0,0017;0,0078125;0,566666667;
Baby Plage;112;60;1;1;23.04.2022;2;Emballage (film) à nourriture/alimentaire/en plastique/bonbon/chips;G30;19;;5;0,0029;0,044642857;0,58;
Baby Plage;112;60;1;1;02.09.2022;3;Emballage (film) à nourriture/alimentaire/en plastique/bonbon/chips;G30;19;;2;0,0012;0,017857143;0,6;
Baby Plage;384;200;2;1;02.09.2022;3;Emballage (film) à nourriture/alimentaire/en plastique/bonbon/chips;G30;19;;36;0,021;0,09375;0,583333333;
Baby Plage;384;200;2;1;15.10.2022;4;Emballage (film) à nourriture/alimentaire/en plastique/bonbon/chips;G30;19;;5;0,0029;0,013020833;0,58;
Baby Plage;112;60;1;1;15.10.2022;4;Emballage (film) à nourriture/alimentaire/en plastique/bonbon/chips;G30;19;;12;0,007;0,107142857;0,583333333;
Baby Plage;384;200;2;1;22.01.2022;1;Jouet en plastique;G32;20;PL08;1;0,1;0,002604167;100;
Baby Plage;112;60;1;1;22.01.2022;1;Jouet en plastique;G32;20;PL08;2;0,2;0,017857143;100;
Baby Plage;384;200;2;1;02.09.2022;3;Jouet en plastique;G32;20;PL08;5;0,5;0,013020833;100;
Baby Plage;384;200;2;1;15.10.2022;4;Jouet en plastique;G32;20;PL08;3;0,3;0,0078125;100;
Baby Plage;112;60;1;1;23.04.2022;2;Touillette/Batonnet en plastique;G34;21;PL06;1;0,0002;0,008928571;0,2;
Baby Plage;384;200;2;1;15.10.2022;4;Touillette/Batonnet en plastique;G34;21;PL06;1;0,0002;0,002604167;0,2;
Baby Plage;112;60;1;1;22.01.2022;1;Paille pour boisson;G35;22;PL04;1;0,001;0,008928571;1;
Baby Plage;384;200;2;1;22.01.2022;1;Paille pour boisson;G35;22;PL04;2;0,002;0,005208333;1;
Baby Plage;384;200;2;1;02.09.2022;3;Paille pour boisson;G35;22;PL04;1;0,001;0,002604167;1;
Baby Plage;384;200;2;1;02.09.2022;3;Corde de moins de 30 cm;G49;31;PL19;2;0,3;0,005208333;150;
Baby Plage;384;200;2;1;22.01.2022;1;Ficelle de moins de 1cm de diamètre;G50;32;PL19;2;0,008;0,005208333;4;4
Baby Plage;384;200;2;1;02.09.2022;3;Ficelle de moins de 1cm de diamètre;G50;32;PL19;10;0,04;0,026041667;4;4
Baby Plage;384;200;2;1;15.10.2022;4;Ficelle de moins de 1cm de diamètre;G50;32;PL19;2;0,008;0,005208333;4;4
Baby Plage;384;200;2;1;22.01.2022;1;Tendeur sendow/élastique;G50;;;1;0,092;0,002604167;92;
Baby Plage;112;60;1;1;02.09.2022;3;Bande de cerclage en plastique;G66;39;PL21;1;0,006;0,008928571;6;
Baby Plage;384;200;2;1;02.09.2022;3;Bande de cerclage en plastique;G66;39;PL21;4;0,024;0,010416667;6;
Baby Plage;384;200;2;1;22.01.2022;1;Cartouche/munition/balle/douille de chasse en plastique;G70;43;;3;0,0093;0,0078125;3,1;3,1
Baby Plage;384;200;2;1;15.10.2022;4;Éponge;G73;45;FP01;5;0,1;0,013020833;20;
