location,date,area,length,project,doy,quantity,code,loc_date,pcs/m,pcs/m²,slug,Project,city
aubonne,2022-09-10,340.0,50.0,plastock,253,1,G2,"('aubonne', '2022-09-10')",0.02,0.0029411764705882,aubonne,Testing,Aubonne
aubonne,2022-09-10,340.0,50.0,plastock,253,17,G27,"('aubonne', '2022-09-10')",0.34,0.05,aubonne,Testing,Aubonne
aubonne,2022-09-10,340.0,50.0,plastock,253,3,G30,"('aubonne', '2022-09-10')",0.06,0.0088235294117647,aubonne,Testing,Aubonne
aubonne,2022-09-10,340.0,50.0,plastock,253,1,G32,"('aubonne', '2022-09-10')",0.02,0.0029411764705882,aubonne,Testing,Aubonne
aubonne,2022-09-10,340.0,50.0,plastock,253,5,G34,"('aubonne', '2022-09-10')",0.1,0.0147058823529411,aubonne,Testing,Aubonne
aubonne,2022-09-10,340.0,50.0,plastock,253,2,G50,"('aubonne', '2022-09-10')",0.04,0.0058823529411764,aubonne,Testing,Aubonne
aubonne,2022-05-14,340.0,50.0,plastock,134,1,G106,"('aubonne', '2022-05-14')",0.02,0.0029411764705882,aubonne,Testing,Aubonne
aubonne,2022-05-14,340.0,50.0,plastock,134,3,G117,"('aubonne', '2022-05-14')",0.06,0.0088235294117647,aubonne,Testing,Aubonne
aubonne,2022-05-14,340.0,50.0,plastock,134,1,G125,"('aubonne', '2022-05-14')",0.02,0.0029411764705882,aubonne,Testing,Aubonne
aubonne,2022-05-14,340.0,50.0,plastock,134,1,G132,"('aubonne', '2022-05-14')",0.02,0.0029411764705882,aubonne,Testing,Aubonne
aubonne,2022-05-14,340.0,50.0,plastock,134,1,G145,"('aubonne', '2022-05-14')",0.02,0.0029411764705882,aubonne,Testing,Aubonne
aubonne,2022-05-14,340.0,50.0,plastock,134,14,G27,"('aubonne', '2022-05-14')",0.28,0.0411764705882352,aubonne,Testing,Aubonne
aubonne,2022-05-14,340.0,50.0,plastock,134,11,G30,"('aubonne', '2022-05-14')",0.22,0.0323529411764705,aubonne,Testing,Aubonne
aubonne,2022-05-14,340.0,50.0,plastock,134,1,G31,"('aubonne', '2022-05-14')",0.02,0.0029411764705882,aubonne,Testing,Aubonne
aubonne,2022-05-14,340.0,50.0,plastock,134,1,G66,"('aubonne', '2022-05-14')",0.02,0.0029411764705882,aubonne,Testing,Aubonne
baby-plage,2022-09-02,496.0,81.0,plastock,245,1,G10,"('baby-plage', '2022-09-02')",0.0123456790123456,0.002016129032258,baby-plage,Testing,Genève
baby-plage,2022-09-02,496.0,81.0,plastock,245,13,G103,"('baby-plage', '2022-09-02')",0.1604938271604938,0.0262096774193548,baby-plage,Testing,Genève
baby-plage,2022-09-02,496.0,81.0,plastock,245,36,G106,"('baby-plage', '2022-09-02')",0.4444444444444444,0.0725806451612903,baby-plage,Testing,Genève
baby-plage,2022-09-02,496.0,81.0,plastock,245,85,G112,"('baby-plage', '2022-09-02')",1.0493827160493827,0.1713709677419354,baby-plage,Testing,Genève
baby-plage,2022-09-02,496.0,81.0,plastock,245,1,G117,"('baby-plage', '2022-09-02')",0.0123456790123456,0.002016129032258,baby-plage,Testing,Genève
baby-plage,2022-09-02,496.0,81.0,plastock,245,4,G131,"('baby-plage', '2022-09-02')",0.0493827160493827,0.0080645161290322,baby-plage,Testing,Genève
baby-plage,2022-09-02,496.0,81.0,plastock,245,1,G134,"('baby-plage', '2022-09-02')",0.0123456790123456,0.002016129032258,baby-plage,Testing,Genève
baby-plage,2022-09-02,496.0,81.0,plastock,245,1,G137,"('baby-plage', '2022-09-02')",0.0123456790123456,0.002016129032258,baby-plage,Testing,Genève
baby-plage,2022-09-02,496.0,81.0,plastock,245,3,G145,"('baby-plage', '2022-09-02')",0.037037037037037,0.0060483870967741,baby-plage,Testing,Genève
baby-plage,2022-09-02,496.0,81.0,plastock,245,1,G2,"('baby-plage', '2022-09-02')",0.0123456790123456,0.002016129032258,baby-plage,Testing,Genève
baby-plage,2022-09-02,496.0,81.0,plastock,245,5,G211,"('baby-plage', '2022-09-02')",0.0617283950617283,0.0100806451612903,baby-plage,Testing,Genève
baby-plage,2022-09-02,496.0,81.0,plastock,245,154,G27,"('baby-plage', '2022-09-02')",1.9012345679012344,0.3104838709677419,baby-plage,Testing,Genève
baby-plage,2022-09-02,496.0,81.0,plastock,245,43,G30,"('baby-plage', '2022-09-02')",0.5308641975308642,0.0866935483870967,baby-plage,Testing,Genève
baby-plage,2022-09-02,496.0,81.0,plastock,245,5,G32,"('baby-plage', '2022-09-02')",0.0617283950617283,0.0100806451612903,baby-plage,Testing,Genève
baby-plage,2022-09-02,496.0,81.0,plastock,245,1,G35,"('baby-plage', '2022-09-02')",0.0123456790123456,0.002016129032258,baby-plage,Testing,Genève
baby-plage,2022-09-02,496.0,81.0,plastock,245,2,G49,"('baby-plage', '2022-09-02')",0.0246913580246913,0.0040322580645161,baby-plage,Testing,Genève
baby-plage,2022-09-02,496.0,81.0,plastock,245,10,G50,"('baby-plage', '2022-09-02')",0.1234567901234567,0.0201612903225806,baby-plage,Testing,Genève
baby-plage,2022-09-02,496.0,81.0,plastock,245,5,G66,"('baby-plage', '2022-09-02')",0.0617283950617283,0.0100806451612903,baby-plage,Testing,Genève
baby-plage,2022-09-02,496.0,81.0,plastock,245,1,G74,"('baby-plage', '2022-09-02')",0.0123456790123456,0.002016129032258,baby-plage,Testing,Genève
baby-plage,2022-09-02,496.0,81.0,plastock,245,1,G904,"('baby-plage', '2022-09-02')",0.0123456790123456,0.002016129032258,baby-plage,Testing,Genève
baby-plage,2022-09-02,496.0,81.0,plastock,245,1,G922,"('baby-plage', '2022-09-02')",0.0123456790123456,0.002016129032258,baby-plage,Testing,Genève
