Plage,échantillon,orientation,position,substrat,fréquentation,situation,distance,objet,compte
Lutry,VD_Lut_4,SE,1,4,3,2,2,souple,0.0
Lutry,VD_Lut_5,SSE,2,2,3,2,2,fdure,4.0
Lutry,VD_Lut_5,SSE,2,2,3,2,2,fibres,77.0
Lutry,VD_Lut_5,SSE,2,2,3,2,2,souple,13.0
Lutry,VD_Lut_6,SE,2,2,3,2,2,fdure,19.0
Lutry,VD_Lut_6,SE,2,2,3,2,2,fibres,394.0
Lutry,VD_Lut_6,SE,2,2,3,2,2,souple,57.0
Lutry,VD_Lut_8,SE,2,2,3,2,2,fdure,3.0
Lutry,VD_Lut_8,SE,2,2,3,2,2,fibres,146.0
Lutry,VD_Lut_8,SE,2,2,3,2,2,souple,36.0
Meillerie,74_Mei_1,N,1,2,1,2,3,fdure,26.0
Meillerie,74_Mei_1,N,1,2,1,2,3,fibres,26.0
Meillerie,74_Mei_1,N,1,2,1,2,3,souple,5.0
Pichette,VD_Pic_1,SSE,1,3,2,1,1,fdure,2.0
Pichette,VD_Pic_1,SSE,1,3,2,1,1,fibres,18.0
Pichette,VD_Pic_1,SSE,1,3,2,1,1,souple,0.0
Pichette,VD_Pic_2,S,1,3,2,1,1,fdure,6.0
Pichette,VD_Pic_2,S,1,3,2,1,1,fibres,107.0
Pichette,VD_Pic_2,S,1,3,2,1,1,souple,0.0
Pichette,VD_Pic_3,SSE,1,3,2,1,1,fdure,8.0
Pichette,VD_Pic_3,SSE,1,3,2,1,1,fibres,75.0
Pichette,VD_Pic_3,SSE,1,3,2,1,1,souple,0.0
Pichette,VD_Pic_4,SSE,2,3,2,1,1,fdure,185.0
Pichette,VD_Pic_4,SSE,2,3,2,1,1,fibres,369.0
Pichette,VD_Pic_4,SSE,2,3,2,1,1,souple,5.0
Pichette,VD_Pic_6,S,2,3,2,1,1,fdure,317.0
Pichette,VD_Pic_6,S,2,3,2,1,1,fibres,2593.0
Pichette,VD_Pic_6,S,2,3,2,1,1,souple,233.0
Port Choiseul,GE_Por_1,NE,1,3,3,2,2,fdure,2.0
Port Choiseul,GE_Por_1,NE,1,3,3,2,2,fibres,37.0
Port Choiseul,GE_Por_1,NE,1,3,3,2,2,souple,1.0
Port Choiseul,GE_Por_10,NE,2,3,3,2,2,fdure,197.0
Port Choiseul,GE_Por_10,NE,2,3,3,2,2,fibres,859.0
Port Choiseul,GE_Por_10,NE,2,3,3,2,2,souple,20.0
Port Choiseul,GE_Por_2,NE,1,3,3,2,2,fdure,1.0
Port Choiseul,GE_Por_2,NE,1,3,3,2,2,fibres,61.0
Port Choiseul,GE_Por_2,NE,1,3,3,2,2,souple,0.0
Port Choiseul,GE_Por_3,NE,1,3,3,2,2,fdure,10.0
Port Choiseul,GE_Por_3,NE,1,3,3,2,2,fibres,80.0
Port Choiseul,GE_Por_3,NE,1,3,3,2,2,souple,1.0
Port Choiseul,GE_Por_4,NE,1,3,3,2,2,fdure,3.0
